MRTNDR04,3,no,16:33:49  30/05/2024,20:59:15 31/05/2024,
MRTNDR04,3,b,16:33:49  30/05/2024,21:00:21 31/05/2024,
MRTNDR04,5,',16:33:49  30/05/2024,21:02:10 31/05/2024,
MRTNDR04,1,da,16:33:49  30/05/2024,21:02:24 31/05/2024,
MRTNDR04,4,no,,21:50:53 31/05/2024,
MRTNDR04,3,da,22:31:35  31/05/2024,13:40:15 01/06/2024,
MRTNDR04,1,no,13:55:26  01/06/2024,13:56:03 01/06/2024,
MRTNDR04,4,gg,,14:19:10 01/06/2024;
MRTNDR04,3,f,,14:20:29 01/06/2024;
MRTNDR04,5,oo,,14:21:11 01/06/2024;
MRTNDR04,3,3,,14:42:37 01/06/2024;
MRTNDR04,3,3,,15:01:13 01/06/2024;
MRTNDR04,2,2,,15:03:51 01/06/2024;
DGRSML03E03H096Q,1,tuttook,,20:00:06 10/06/2024;
SCHRM23756,2,no,,17:24:35 11/06/2024;
SCHRM23756,1,no,,17:26:53 11/06/2024;
SCHRM23756,5,no,,17:27:53 11/06/2024;
SCHRM23756,1,no,,17:52:25 11/06/2024;
12,2,no,,16:06:41 12/06/2024;
12,3,commento,,07:45:57 13/06/2024;
